NLquery_id,NLquery,LLM_model_name,prompt,LLM_returned_SQL_id,LLM_returned_SQL_query,SQL_correct,SyntaxError,OutputError,TableError
1,"For each Internet Service(sid), find the most frequently used version among all Base Models that utilize it. If multiple versions have the same highest frequency, you may return any one of them.",GPT-5.1,"Achieve this NL2SQL task from the given natural language query and table schema: [NL Query] For each Internet Service(sid), find the most frequently used version among all Base Models that utilize it. If multiple versions have the same highest frequency, you may return any one of them. [Table Schema] AgentCreator: uid : INT, bio : TEXT, payout : TEXT AgentClient: uid : INT, interests : TEXT, cardholder : TEXT, expire : DATE, cardno : INT, cvv : INT, zip : INT BaseModel: bmid : INT, creator_uid : INT, description : TEXT CustomizedModel: bmid : INT, mid : INT Configuration: cid : INT, client_uid : INT, content : TEXT, labels : TEXT InternetService: sid : INT, provider : TEXT, endpoints : TEXT LLMService: sid : INT, domain : TEXT DataStorage: sid : INT, type : TEXT ModelServices: bmid : INT, sid : INT, version : INT ModelConfigurations: bmid : INT, mid : INT, cid : INT, duration : INT Share your 2-5 different SQL query answers in this format: [SQL Query] (one line)",1,"SELECT sid, version FROM (SELECT sid, version, ROW_NUMBER() OVER (PARTITION BY sid ORDER BY COUNT(*) DESC) AS rn FROM ModelServices GROUP BY sid, version) t WHERE rn = 1;",true,false,false,false
1,"For each Internet Service(sid), find the most frequently used version among all Base Models that utilize it. If multiple versions have the same highest frequency, you may return any one of them.",GPT-5.1,"Achieve this NL2SQL task from the given natural language query and table schema: [NL Query] For each Internet Service(sid), find the most frequently used version among all Base Models that utilize it. If multiple versions have the same highest frequency, you may return any one of them. [Table Schema] AgentCreator: uid : INT, bio : TEXT, payout : TEXT AgentClient: uid : INT, interests : TEXT, cardholder : TEXT, expire : DATE, cardno : INT, cvv : INT, zip : INT BaseModel: bmid : INT, creator_uid : INT, description : TEXT CustomizedModel: bmid : INT, mid : INT Configuration: cid : INT, client_uid : INT, content : TEXT, labels : TEXT InternetService: sid : INT, provider : TEXT, endpoints : TEXT LLMService: sid : INT, domain : TEXT DataStorage: sid : INT, type : TEXT ModelServices: bmid : INT, sid : INT, version : INT ModelConfigurations: bmid : INT, mid : INT, cid : INT, duration : INT Share your 2-5 different SQL query answers in this format: [SQL Query] (one line)",2,"SELECT ms.sid, ms.version FROM ModelServices ms GROUP BY ms.sid, ms.version HAVING COUNT() = (SELECT MAX(cnt) FROM (SELECT COUNT() AS cnt FROM ModelServices WHERE sid = ms.sid GROUP BY version) x);",false,true,false,false
1,"For each Internet Service(sid), find the most frequently used version among all Base Models that utilize it. If multiple versions have the same highest frequency, you may return any one of them.",GPT-5.1,"Achieve this NL2SQL task from the given natural language query and table schema: [NL Query] For each Internet Service(sid), find the most frequently used version among all Base Models that utilize it. If multiple versions have the same highest frequency, you may return any one of them. [Table Schema] AgentCreator: uid : INT, bio : TEXT, payout : TEXT AgentClient: uid : INT, interests : TEXT, cardholder : TEXT, expire : DATE, cardno : INT, cvv : INT, zip : INT BaseModel: bmid : INT, creator_uid : INT, description : TEXT CustomizedModel: bmid : INT, mid : INT Configuration: cid : INT, client_uid : INT, content : TEXT, labels : TEXT InternetService: sid : INT, provider : TEXT, endpoints : TEXT LLMService: sid : INT, domain : TEXT DataStorage: sid : INT, type : TEXT ModelServices: bmid : INT, sid : INT, version : INT ModelConfigurations: bmid : INT, mid : INT, cid : INT, duration : INT Share your 2-5 different SQL query answers in this format: [SQL Query] (one line)",3,"SELECT sid, version FROM (SELECT sid, version, DENSE_RANK() OVER (PARTITION BY sid ORDER BY COUNT(*) DESC) AS rk FROM ModelServices GROUP BY sid, version) t WHERE rk = 1;",true,false,false,false
1,"For each Internet Service(sid), find the most frequently used version among all Base Models that utilize it. If multiple versions have the same highest frequency, you may return any one of them.",GPT-5.1,"Achieve this NL2SQL task from the given natural language query and table schema: [NL Query] For each Internet Service(sid), find the most frequently used version among all Base Models that utilize it. If multiple versions have the same highest frequency, you may return any one of them. [Table Schema] AgentCreator: uid : INT, bio : TEXT, payout : TEXT AgentClient: uid : INT, interests : TEXT, cardholder : TEXT, expire : DATE, cardno : INT, cvv : INT, zip : INT BaseModel: bmid : INT, creator_uid : INT, description : TEXT CustomizedModel: bmid : INT, mid : INT Configuration: cid : INT, client_uid : INT, content : TEXT, labels : TEXT InternetService: sid : INT, provider : TEXT, endpoints : TEXT LLMService: sid : INT, domain : TEXT DataStorage: sid : INT, type : TEXT ModelServices: bmid : INT, sid : INT, version : INT ModelConfigurations: bmid : INT, mid : INT, cid : INT, duration : INT Share your 2-5 different SQL query answers in this format: [SQL Query] (one line)",4,"SELECT ms.sid, ms.version FROM ModelServices ms JOIN (SELECT sid, MAX(cnt) AS maxcnt FROM (SELECT sid, version, COUNT() AS cnt FROM ModelServices GROUP BY sid, version) a GROUP BY sid) b ON ms.sid = b.sid GROUP BY ms.sid, ms.version HAVING COUNT() = b.maxcnt;",false,true,false,false
2,Find all the Internet Service(sid) that are utilized by every Base Model built by the agent creator user_iuwrh.,GPT-5.1,"Achieve this NL2SQL task from the given natural language query and table schema: [NL Query] Find all the Internet Service(sid) that are utilized by every Base Model built by the agent creator user_iuwrh. [Table Schema] AgentCreator: uid : INT, bio : TEXT, payout : TEXT AgentClient: uid : INT, interests : TEXT, cardholder : TEXT, expire : DATE, cardno : INT, cvv : INT, zip : INT BaseModel: bmid : INT, creator_uid : INT, description : TEXT CustomizedModel: bmid : INT, mid : INT Configuration: cid : INT, client_uid : INT, content : TEXT, labels : TEXT InternetService: sid : INT, provider : TEXT, endpoints : TEXT LLMService: sid : INT, domain : TEXT DataStorage: sid : INT, type : TEXT ModelServices: bmid : INT, sid : INT, version : INT ModelConfigurations: bmid : INT, mid : INT, cid : INT, duration : INT Share your 2-5 different SQL query answers in this format: [SQL Query] (one line)",5,SELECT ms.sid FROM ModelServices ms WHERE ms.bmid IN (SELECT b.bmid FROM BaseModel b WHERE b.creator_uid = (SELECT a.uid FROM AgentCreator a JOIN User u ON a.uid = u.uid WHERE u.username = 'user_iuwrh')) GROUP BY ms.sid HAVING COUNT(DISTINCT ms.bmid) = (SELECT COUNT(*) FROM BaseModel WHERE creator_uid = (SELECT a.uid FROM AgentCreator a JOIN User u ON a.uid = u.uid WHERE u.username = 'user_iuwrh'));,false,false,true,false
2,Find all the Internet Service(sid) that are utilized by every Base Model built by the agent creator user_iuwrh.,GPT-5.1,"Achieve this NL2SQL task from the given natural language query and table schema: [NL Query] Find all the Internet Service(sid) that are utilized by every Base Model built by the agent creator user_iuwrh. [Table Schema] AgentCreator: uid : INT, bio : TEXT, payout : TEXT AgentClient: uid : INT, interests : TEXT, cardholder : TEXT, expire : DATE, cardno : INT, cvv : INT, zip : INT BaseModel: bmid : INT, creator_uid : INT, description : TEXT CustomizedModel: bmid : INT, mid : INT Configuration: cid : INT, client_uid : INT, content : TEXT, labels : TEXT InternetService: sid : INT, provider : TEXT, endpoints : TEXT LLMService: sid : INT, domain : TEXT DataStorage: sid : INT, type : TEXT ModelServices: bmid : INT, sid : INT, version : INT ModelConfigurations: bmid : INT, mid : INT, cid : INT, duration : INT Share your 2-5 different SQL query answers in this format: [SQL Query] (one line)",6,SELECT ms.sid FROM ModelServices ms JOIN BaseModel b ON ms.bmid = b.bmid AND b.creator_uid = (SELECT a.uid FROM AgentCreator a JOIN User u ON a.uid = u.uid WHERE u.username = 'user_iuwrh') GROUP BY ms.sid HAVING COUNT(DISTINCT ms.bmid) = (SELECT COUNT(*) FROM BaseModel WHERE creator_uid = (SELECT a.uid FROM AgentCreator a JOIN User u ON a.uid = u.uid WHERE u.username = 'user_iuwrh'));,false,false,true,false
2,Find all the Internet Service(sid) that are utilized by every Base Model built by the agent creator user_iuwrh.,GPT-5.1,"Achieve this NL2SQL task from the given natural language query and table schema: [NL Query] Find all the Internet Service(sid) that are utilized by every Base Model built by the agent creator user_iuwrh. [Table Schema] AgentCreator: uid : INT, bio : TEXT, payout : TEXT AgentClient: uid : INT, interests : TEXT, cardholder : TEXT, expire : DATE, cardno : INT, cvv : INT, zip : INT BaseModel: bmid : INT, creator_uid : INT, description : TEXT CustomizedModel: bmid : INT, mid : INT Configuration: cid : INT, client_uid : INT, content : TEXT, labels : TEXT InternetService: sid : INT, provider : TEXT, endpoints : TEXT LLMService: sid : INT, domain : TEXT DataStorage: sid : INT, type : TEXT ModelServices: bmid : INT, sid : INT, version : INT ModelConfigurations: bmid : INT, mid : INT, cid : INT, duration : INT Share your 2-5 different SQL query answers in this format: [SQL Query] (one line)",7,SELECT DISTINCT ms.sid FROM ModelServices ms WHERE NOT EXISTS (SELECT 1 FROM BaseModel b WHERE b.creator_uid = (SELECT a.uid FROM AgentCreator a JOIN User u ON a.uid = u.uid WHERE u.username = 'user_iuwrh') AND NOT EXISTS (SELECT 1 FROM ModelServices x WHERE x.sid = ms.sid AND x.bmid = b.bmid));,false,false,true,false
2,Find all the Internet Service(sid) that are utilized by every Base Model built by the agent creator user_iuwrh.,GPT-5.1,"Achieve this NL2SQL task from the given natural language query and table schema: [NL Query] Find all the Internet Service(sid) that are utilized by every Base Model built by the agent creator user_iuwrh. [Table Schema] AgentCreator: uid : INT, bio : TEXT, payout : TEXT AgentClient: uid : INT, interests : TEXT, cardholder : TEXT, expire : DATE, cardno : INT, cvv : INT, zip : INT BaseModel: bmid : INT, creator_uid : INT, description : TEXT CustomizedModel: bmid : INT, mid : INT Configuration: cid : INT, client_uid : INT, content : TEXT, labels : TEXT InternetService: sid : INT, provider : TEXT, endpoints : TEXT LLMService: sid : INT, domain : TEXT DataStorage: sid : INT, type : TEXT ModelServices: bmid : INT, sid : INT, version : INT ModelConfigurations: bmid : INT, mid : INT, cid : INT, duration : INT Share your 2-5 different SQL query answers in this format: [SQL Query] (one line)",8,"SELECT ms.sid FROM (SELECT ms.sid, COUNT(DISTINCT ms.bmid) AS c FROM ModelServices ms JOIN BaseModel b ON ms.bmid = b.bmid WHERE b.creator_uid = (SELECT a.uid FROM AgentCreator a JOIN User u ON a.uid = u.uid WHERE u.username = 'user_iuwrh') GROUP BY ms.sid) t WHERE t.c = (SELECT COUNT(*) FROM BaseModel WHERE creator_uid = (SELECT a.uid FROM AgentCreator a JOIN User u ON a.uid = u.uid WHERE u.username = 'user_iuwrh'));",false,false,true,false
3,Find all customized models(mid) that do not appear in model configurations.,GPT-5.1,"Achieve this NL2SQL task from the given natural language query and table schema: [NL Query] Find all customized models(mid) that do not appear in model configurations. [Table Schema] AgentCreator: uid : INT, bio : TEXT, payout : TEXT AgentClient: uid : INT, interests : TEXT, cardholder : TEXT, expire : DATE, cardno : INT, cvv : INT, zip : INT BaseModel: bmid : INT, creator_uid : INT, description : TEXT CustomizedModel: bmid : INT, mid : INT Configuration: cid : INT, client_uid : INT, content : TEXT, labels : TEXT InternetService: sid : INT, provider : TEXT, endpoints : TEXT LLMService: sid : INT, domain : TEXT DataStorage: sid : INT, type : TEXT ModelServices: bmid : INT, sid : INT, version : INT ModelConfigurations: bmid : INT, mid : INT, cid : INT, duration : INT Share your 2-5 different SQL query answers in this format: [SQL Query] (one line)",9,SELECT mid FROM CustomizedModel WHERE mid NOT IN (SELECT mid FROM ModelConfigurations);,true,false,false,false
3,Find all customized models(mid) that do not appear in model configurations.,GPT-5.1,"Achieve this NL2SQL task from the given natural language query and table schema: [NL Query] Find all customized models(mid) that do not appear in model configurations. [Table Schema] AgentCreator: uid : INT, bio : TEXT, payout : TEXT AgentClient: uid : INT, interests : TEXT, cardholder : TEXT, expire : DATE, cardno : INT, cvv : INT, zip : INT BaseModel: bmid : INT, creator_uid : INT, description : TEXT CustomizedModel: bmid : INT, mid : INT Configuration: cid : INT, client_uid : INT, content : TEXT, labels : TEXT InternetService: sid : INT, provider : TEXT, endpoints : TEXT LLMService: sid : INT, domain : TEXT DataStorage: sid : INT, type : TEXT ModelServices: bmid : INT, sid : INT, version : INT ModelConfigurations: bmid : INT, mid : INT, cid : INT, duration : INT Share your 2-5 different SQL query answers in this format: [SQL Query] (one line)",10,SELECT mid FROM CustomizedModel WHERE NOT EXISTS (SELECT 1 FROM ModelConfigurations mc WHERE mc.mid = CustomizedModel.mid);,true,false,false,false
